	[Battleaxe] 6.0
CAERLEON: 37461	{21.05.2022 11:21}
BLACKMARKET: 39516	{21.05.2022 11:14}
	[Battleaxe] 6.1
CAERLEON: 80995	{21.05.2022 11:21}
BLACKMARKET: 79031	{21.05.2022 11:14}
	[Battleaxe] 6.2
CAERLEON: 287798	{21.05.2022 11:21}
BLACKMARKET: 289799	{21.05.2022 11:14}
	[Battleaxe] 7.0
CAERLEON: 88996	{21.05.2022 11:22}
BLACKMARKET: 93967	{21.05.2022 11:14}
	[Battleaxe] 7.1
CAERLEON: -1	{21.05.2022 11:22}
BLACKMARKET: 263789	{21.05.2022 11:14}
	[Battleaxe] 7.2
CAERLEON: 898993	{21.05.2022 11:22}
BLACKMARKET: 870420	{21.05.2022 11:14}
	[Battleaxe] 8.0
CAERLEON: 280877	{21.05.2022 11:22}
BLACKMARKET: 271874	{21.05.2022 11:14}
	[Battleaxe] 8.1
CAERLEON: 824560	{21.05.2022 11:22}
BLACKMARKET: 849990	{21.05.2022 11:15}
	[Battleaxe] 8.2
CAERLEON: -1	{21.05.2022 11:22}
BLACKMARKET: 1899985	{21.05.2022 11:15}
	[Carrioncaller] 6.0
CAERLEON: 45987	{21.05.2022 11:22}
BLACKMARKET: 54986	{21.05.2022 11:15}
	[Carrioncaller] 6.1
CAERLEON: 143968	{21.05.2022 11:22}
BLACKMARKET: 119998	{21.05.2022 11:15}
	[Carrioncaller] 6.2
CAERLEON: 359991	{21.05.2022 11:22}
BLACKMARKET: 358318	{21.05.2022 11:15}
	[Carrioncaller] 7.0
CAERLEON: 173549	{21.05.2022 11:22}
BLACKMARKET: 181879	{21.05.2022 11:15}
	[Carrioncaller] 7.1
CAERLEON: 368997	{21.05.2022 11:22}
BLACKMARKET: 378999	{21.05.2022 11:15}
	[Carrioncaller] 7.2
CAERLEON: -1	{21.05.2022 11:22}
BLACKMARKET: 978123	{21.05.2022 11:15}
	[Carrioncaller] 8.0
CAERLEON: 399888	{21.05.2022 11:22}
BLACKMARKET: 579000	{21.05.2022 11:15}
	[Carrioncaller] 8.1
CAERLEON: 944993	{21.05.2022 11:22}
BLACKMARKET: 878318	{21.05.2022 11:15}
	[Carrioncaller] 8.2
CAERLEON: 1729996	{21.05.2022 11:22}
BLACKMARKET: 1719978	{21.05.2022 11:15}
